Date & Time,Usage [kW]
1/18/2023 2:00,-0.017391944
1/18/2023 3:00,-0.017360556
1/18/2023 4:00,-0.017374722
1/18/2023 5:00,-3.586585
1/18/2023 6:00,-3.362393056
1/18/2023 7:00,-3.377091389
1/18/2023 8:00,-2.473405278
1/18/2023 9:00,-2.479685833
1/18/2023 10:00,-1.815174722
1/18/2023 11:00,-1.184575833
1/18/2023 12:00,-1.048109167
1/18/2023 13:00,-1.904721111
1/18/2023 14:00,-1.693935
1/18/2023 15:00,0.054696111
1/18/2023 16:00,0.052361389
1/18/2023 17:00,-0.016841667
1/18/2023 18:00,-0.016984167
1/18/2023 19:00,-0.017025556
1/18/2023 20:00,-0.017086389
1/18/2023 21:00,-0.0171225
1/18/2023 22:00,-0.017150278
1/18/2023 23:00,-0.017215833
1/19/2023 0:00,-0.017245
1/19/2023 1:00,-0.32649
1/19/2023 2:00,-0.017358889
1/19/2023 3:00,-0.017358611
1/19/2023 4:00,-0.017372778
1/19/2023 5:00,-2.811060278
1/19/2023 6:00,-3.335318333
1/19/2023 7:00,-3.338327222
1/19/2023 8:00,-2.488006389
1/19/2023 9:00,-0.088171111
1/19/2023 10:00,-0.039563056
1/19/2023 11:00,-0.106652222
1/19/2023 12:00,-0.783323889
1/19/2023 13:00,-1.951354444
1/19/2023 14:00,-0.406430278
1/19/2023 15:00,0.135103611
1/19/2023 16:00,0.066728056
1/19/2023 17:00,-0.0168975
1/19/2023 18:00,-0.016975833
1/19/2023 19:00,-0.017104167
1/19/2023 20:00,-0.017205278
1/19/2023 21:00,-0.0171925
1/19/2023 22:00,-0.017298611
1/19/2023 23:00,-0.017385556
1/20/2023 0:00,-0.093977222
1/20/2023 1:00,-0.030939444
1/20/2023 2:00,-0.017508056
1/20/2023 3:00,-0.017590278
1/20/2023 4:00,-0.017644167
1/20/2023 5:00,-3.681148889
1/20/2023 6:00,-3.413583333
1/20/2023 7:00,-3.4961025
1/20/2023 8:00,-1.442461389
1/20/2023 9:00,-0.04645
1/20/2023 10:00,-0.012103333
1/20/2023 11:00,-0.161026389
1/20/2023 12:00,-0.1306925
1/20/2023 13:00,-0.067418333
1/20/2023 14:00,0.025001111
1/20/2023 15:00,0.041988889
1/20/2023 16:00,0.006223611
1/20/2023 17:00,-0.017092778
1/20/2023 18:00,-0.017138333
1/20/2023 19:00,-0.017195
1/20/2023 20:00,-0.0173425
1/20/2023 21:00,-0.017314722
1/20/2023 22:00,-0.017333889
1/20/2023 23:00,-0.017391667
1/21/2023 0:00,-0.017439444
1/21/2023 1:00,-0.017546389
1/21/2023 2:00,-0.017559167
1/21/2023 3:00,-0.017564722
1/21/2023 4:00,-0.017608611
